MUNICIPIO,ENTE,OUVIDOR,TELEFONE,EMAIL,SITE,ENDERECO,HORARIO,OUVIDOR2025,TELEFONE2025,EMAIL2025,ENDERECO2025
ARARENDÁ,Prefeitura,PREFEITURA,(88) 3633-1188 | (88) 99249-9539,ouvidoria@ararenda.ce.gov.br,https://www.ararenda.ce.gov.br/,"Rua Henrique Soares, 477, Centro - Ararendá/CE",,,,,
ARARIPE,Prefeitura,Antonio Eudro de Oliveira,(88) 9.9406-0146,ouvidoria@araripe.ce.gov.br,https://www.araripe.ce.gov.br/,,,,,,
ARATUBA,Prefeitura,PREFEITURA,(85) 3329-1444,pmagabinete02@gmail.com,https://www.aratuba.ce.gov.br/,"Rua Júlio Pereira, 304 - Centro - CEP: 62.762-000 - Aratuba/CE",,,,,
ARNEIROZ,Prefeitura,João André Feitosa Neto,(88) 3419-1020,ouvidoria@arneiroz.ce.gov.br,https://www.arneiroz.ce.gov.br/,"Praça Joaquim Felipe, 15, Centro - Arneiroz/CE",,,,,
ASSARÉ,Prefeitura,Paulo Anderson Sefarim de B.,(88) 99656-1118,ouvidoriamunassare@gmail.com,https://assare.ce.gov.br/,"Rua Doutor Paiva, 415 - Centro - Assaré\CE",,,,,
AURORA,Prefeitura,Cintia Gregorio dos Santos,(85) 99684-1509,ouvidoria@aurora.ce.gov.br,https://aurora.ce.gov.br/,"Av. Antônio Ricardo, Nº 43 - Centro - CEP: 63.360-000 – Aurora/CE",,,,,
BAIXIO,Prefeitura,PREFEITURA,(88) 9 9631-4729,ouvidoria@baixio.ce.gov.br,https://www.baixio.ce.gov.br/,"Praça dos Três Poderes, Centro Adm. Cícero Henrique Brasileiro, S/N - Centro - CEP:63320-000",,,,,
BANABUIU,Prefeitura,Francisco Ferreira do N. N.,(88) 9.9903-1442,ouvidoria@banabuiu.ce.gov.br,https://www.banabuiu.ce.gov.br/,"RUA JOAQUIM NOBRE DE OLIVEIRA, Nº 171",,,,,
BARBALHA,Prefeitura,PREFEITURA, (88) 3532-2459 | (88) 99455-1031,ouvidoria@barbalha.ce.gov.br (esse não recebeu o e-mail),https://barbalha.ce.gov.br/,"Av. Domingos Sampaio Miranda, nº 715, Buriti, CEP: 63.092-394, Barbalha/CE",,,,,
BARREIRA,Prefeitura,Bruna Monte Torres Teixeira,(85) 99254-4485,ouvidoria.pmb.ce@gmail.com,https://www.barreira.ce.gov.br/,"Sede da Secretaria de Saúde do Município, Rua Maria Maia, s/n, Centro, Barreira/CE",8h-16h,José Hédio Rodrigues Torres Filho,(85) 99438-2293,ouvidoriageralbarreira@gmail.com,"Rua Lúcio Tôrres, s/n - Centro - Barreira/CE"
BARRO,Prefeitura,Jader Fernandes de Melo,(88) 99632-0398,jadermelo224@gmail.com,https://www.barro.ce.gov.br/,"Rua Firmino Tavares, 246, Centro - Barro/CE",7h30-13h,Jader Fernandes de Melo,(88) 99632-0398,jadermelo224@gmail.com,"Rua Firmino Tavares, 246, Centro - Barro/CE"
BARROQUINHA,Prefeitura,PREFEITURA,(88) 3623-1137,,https://barroquinha.ce.gov.br/,,,,,,
BATURITÉ,Prefeitura,Emmanuel Jefferson K.C.B.M,(85) 99194-8477,ouvidoria@baturite.ce.gov.br,https://www.baturite.ce.gov.br/,"Prefeitura de Baturité, Praça da Matriz, s/n - Palácio Entre Rios",,,,,
BEBERIBE,Prefeitura,Francisco Jadson Bernando Martins,(85) 99794-5040,ouvidoria@beberibe.ce.gov.br,https://www.beberibe.ce.gov.br/,"Rua J J Dourado, 349 - Centro Administrastivo - AP 01 - Beberibe/CE",,,,,
BELA CRUZ,Prefeitura,Raimundo Ivan Moreira,(88) 9.9615-6583,ouvidoria@belacruz.ce.gov.br,https://www.belacruz.ce.gov.br/,"RUA 7 DE SETEMBRO, Nº 34 CENTRO, CEP: 62570-000",,,,,
BOA VIAGEM,Prefeitura,Maria Cristiane Andre de Sales,(88) 988690116,ouvidoria@boaviagem.ce.gov.br,https://www.boaviagem.ce.gov.br/,PREFEITURA MUNICIPAL DE BOA VIAGEM,,,,,
BREJO SANTO,Prefeitura,PREFEITURA,"(88) 3531-1042  Ramal 215
",ouvidoria@brejosanto.ce.gov.br,https://www.brejosanto.ce.gov.br/,"Rua Manoel Inácio Bezerra, 192 - Centro - Brejo Santo/CE",8h-17h,MARCOS ANTONIO NOGUEIRA,(88) 98162-4323,ouvidoriabs@ce.gov.br,
CAMOCIM,Prefeitura,Kelton Ribeiro do Nascimento,88992926121,ribeiro.kelton@gmail.com,https://camocim.ce.gov.br/,,,,,,
CAMPOS SALES,Prefeitura,Sem nome de ouvidor(a),(88) 3533-1801,ouvidoria@camposales.ce.gov.br,https://www.campossales.ce.gov.br/,,,,,,
CANINDÉ,Prefeitura,Edilson Ximenes,85999640757,edilson-ximenes@hotmail.com,https://www.caninde.ce.gov.br/,Largo Xavier de Medeiros s/n Bairro - Imaculada Conceição,,,,,
CAPISTRANO,Prefeitura,Raimundo Araujo Sousa,,ouvidoria@capistrano.ce.gov.br,https://www.capistrano.ce.gov.br/,"Praça: Major José Estelita de Aguiar, S/N - Centro - CEP: 62.748-000 – Capistrano/Ceará",,,,,
CARIDADE,Prefeitura,PREFEITURA,(85) 3324-1293,,https://www.caridade.ce.gov.br/,,,,,,
CARIRÉ,Prefeitura,Maria Cesar Martins Silva,(88) 9.8117-0152,csinharainha@hotmail.com,https://www.carire.ce.gov.br/,"Praca Elísio Aguiar, 141 - Centro - CEP: 62.184-000 - Cariré\CE",,,,,
CARIRIAÇU,Prefeitura,Aline Alencar Bezerra, (88) 3547-1122 | 3547-1159,ouvidoria@caririacu.ce.gov.br,https://www.caririacu.ce.gov.br/,"Prefeitura Municipal de Caririaçu, s/n, - Paraíso - CEP: 63.220-000",8h-14h,Aline Alencar Bezerra,Não informado,ouvidoria@caririacu.ce.gov.br,"Prefeitura Municipal de Caririaçu, s/n, - Paraíso - CEP: 63.220-000"
CARIUS,Prefeitura,PREFEITURA,(88) 3514-1219 | (88) 99903-3364,ouvidoriacarius@gmail.com,https://carius.ce.gov.br/,"Rua Raul Nogueira, s/n, Centro - Cariús/CE",,,,,
CARNAUBAL,Prefeitura,PREFEITURA," (88) 3650-1111

",,https://www.carnaubal.ce.gov.br/,,,,,,
CASCAVEL,Prefeitura,Patricia Virgina da Costa,(85) 3334-2840,ouvidoria@cascavel.ce.gov.br,https://www.cascavel.ce.gov.br/,"Av. Chanceler Edson Queiroz, 2050",,,,,
CATARINA,Prefeitura,Raimundo Graciliano Chaves de Almeida,(88) 3556-1167,ouvidoria.pmcatarina@gmail.com,https://www.catarina.ce.gov.br/,Rua José Rodrigues Pereira Neto - 280 - Três Poderes - CEP: 63.595-000 - Catarina/CE,,,,,
CATUNDA,Prefeitura,Reginaldo Rosendo de Almeida,(88) 3686-1032,ouvidoria.municipal.catunda@gmail.com | prefeitura.catunda.ceara@gmail.com,https://catunda.ce.gov.br/,,,,,,
CAUCAIA,Prefeitura,Séphora Ediva dos Lima Barcelos Silva, (85) 3342-4410 | (85) 3342-8064,ouvidoriageral@caucaia.ce.gov.br,https://www.caucaia.ce.gov.br/,"Rua Francisco Sáles, 116 - Centro - Caucaia/CE",,,,,
CEDRO,Prefeitura,Thatyana Kayrone Marinheiro da Silva,(88) 99989-9314,ouvidoria@cedro.ce.gov.br,https://www.cedro.ce.gov.br/,"Sala da Ouvidoria - Rua Tabelião Raimundo dos Santos, s/n, Bairro de Fátima - Cedro/CE",,,,,
CHAVAL,Prefeitura,PREFEITURA,(88) 3625-1330,,https://chaval.ce.gov.br/,,,,,,
CHORÓ,Prefeitura,Lidia Maria Sousa de Lima,(88) 9.92845912,ouvidoriachoro20@gmail.com,https://www.choro.ce.gov.br/,"Rua Cel. João Paracampos, 1410 - Alto do Cruzeiro - CEP: 63950-000 - CHORO\CE",,,,,
CHOROZINHO,Prefeitura,PREFEITURA,(85) 3319-1163  ,ouvidoria@chorozinho.ce.gov.br,https://www.chorozinho.ce.gov.br/,"Av. Raimundo Simplício, s/n, Centro - Chorozinho/CE",,,,,
COREAÚ,Prefeitura,Francisco José Fontenele,(88) 3645-1344,ouvidoriapalmacoreau@hotmail.com,https://www.coreau.ce.gov.br/,Prefeitura Municipal de Coreaú,,,,,
CRATEÚS,Prefeitura,Francisco Elvys da Silva Rodrigues, (88) 3692-3315,ouvidoria@crateus.ce.gov.br,https://www.crateus.ce.gov.br/,"Galeria Gentil Cardoso, 20, 2º andar, Centro - Crateús/CE",7h30-13h20,Francisco Elvys da Silva Rodrigues, (88) 3692-3315,ouvidoria@crateus.ce.gov.br,"Galeria Gentil Cardoso, 20, 2º andar, Centro - Crateús/CE"
CRATO,Prefeitura,Maria Agueda Brito Leite Duarte,(88) 99733-0333 | (88) 3521-9600,ouvidoria@crato.ce.gov.br | controladoria@crato.ce.gov.br,https://crato.ce.gov.br/ | www.ouvidoria.crato.ce.gov.br ,"Palácio Alexandre Arraes Largo Júlio Saraiva, s/n - Centro - CEP: 63.1000-347 ",8h-17h,Maria Agueda Brito Leite Duarte,162,,
CROATÁ,Prefeitura,PREFEITURA,,,https://croata.ce.gov.br/,,,,,,
CRUZ,Prefeitura,Allison Arante Silveira,(88) 99259-3006,ouvidoria@cruz.ce.gov.br,https://cruz.ce.gov.br/,"Praça dos 03 Poderes, SN Aningas - Cruz/CE",,,,,
DEPUTADO IRAPUAN PINHEIRO,Prefeitura,Josefa de Oliveira,(88) 9.81258271,ouvidoriacontroladoria@gmail.com,https://www.irapuanpinheiro.ce.gov.br/,Avenida dos Três Poderes - Nº 75 - Centro - Dep. Irapuan Pinheiro-CE - CEP: 63.645-000,,,,,
ERERÉ,Prefeitura,PREFEITURA,(88) 8236-6634 ,,https://www.erere.ce.gov.br/,,,,,,
EUSÉBIO,Prefeitura,PREFEITURA,(85) 99201-3176 | (85) 3924-6780,ouvidoriaeusebio@gmail.com,http://eusebio.ce.gov.br/,,,,,,
FARIAS BRITO,Prefeitura,PREFEITURA,(88) 3544-1223 | (88) 3544-1193,,https://www.fariasbrito.ce.gov.br/,"Rua José Alves Pimentel, 87, Centro - Farias Brito/CE.",,,,,
FORQUILHA,Prefeitura,Jorge Urculino Martins,(88) 9.9450-0748,ouvidoria@forquilha.ce.gov.br,https://www.forquilha.ce.gov.br/acessoainformacao.php,Ouvidoria Geral do Município - Prefeitura Municipal de Forquilha,,,,,
FORTALEZA,Prefeitura,Lilia Fontele,85988890842,lilian.fontenele@cgm.fortaleza.ce.gov.br,https://www.fortaleza.ce.gov.br/,"Avenida Dom Luís, 807,11º andar MEIRELES 60160-230",,,,,
FORTIM,Prefeitura,Cintia Rodrigues da Silva,(88) 3413-1053,ouvidoria@fortim.ce.gov.br,https://www.fortim.ce.gov.br/,"Vila da Paz, 40, Bloco D - Fortim/CE",,,,,
FRECHEIRINHA,Prefeitura,José Augusto,88993539696,ouvidoria@frecheirinha.ce.gov.br,https://www.frecheirinha.ce.gov.br/,Centro Administrativo de Frecheirinha,,,,,
GENERAL SAMPAIO,Prefeitura,Bruno Cesar Barbosa Gama,(85) 3357-1088 | (85) 98818-9684,ouvidoria@generalsampaio.ce.gov.br,https://www.generalsampaio.ce.gov.br/,"Av. José Severino Filho, 257 - Sagrado Coração de Jesus - General Sampaio/CE",,,,,
GRAÇA,Prefeitura,PREFEITURA,(88) 3656-1255,ouvidoria@graca.ce.gov.br,https://www.graca.ce.gov.br/,,,,,,
GRANJA,Prefeitura,David Pereira Rocha,(88) 3624-1155 -Ram 213,ouvidoriagranja@hotmail.com,https://www.granja.ce.gov.br/,"Praça da Matriz, S/N",,,,,
GRANJEIRO,Prefeitura,Railla Naiane de Alencar Menezes,(88) 99324-4871,ouvidoria@granjeiro.ce.gov.br,https://www.granjeiro.ce.gov.br/,"Rua David Granjeiro, 104 - Centro - Granjeiro/CE",,,,,
GROAIRAS,Prefeitura,PREFEITURA,,,https://www.groairas.ce.gov.br/site,,,,,,
GUAIUBA,Prefeitura,José Telmo Lacerda Diogenes,(85) 98884-3792 | (85) 99265-8924,guaiuba.ouvidora@gmail.com | gabinete@guaiuba.ce.gov.br,https://www.guaiuba.ce.gov.br/,"Rua Pedro Augusto, 53 - Centro - CEP: 61.890-000 - Guaiuba/CE",,,,,
GUARACIABA DO NORTE,Prefeitura,PREFEITURA,(88) 3652.2150 ,,https://www.guaraciabadonorte.ce.gov.br/,,,,,,
GUARAMIRANGA,Prefeitura,Francisco Cesarllan de Oliveira Gomes,(85) 99798-9815 | (85) 99260-6846,ouvidoria@guaramiranga.ce.gov.br,https://www.guaramiranga.ce.gov.br/,"Rua Joaquim Alves Nogueira, 409 - Centro",,,,,
HIDROLÂNDIA,Prefeitura,João Paulo Alves de Souza,(88) 3638-1305,controladoriaeouvidoria.hidro.ce@outlook.com,https://www.hidrolandia.ce.gov.br/,RUA LUIZ CAMELO SOBRINHO,,,,,
HORIZONTE,Prefeitura,PREFEITURA,(85) 3336-6078 | 85 987610270,ouvidoria@horizonte.ce.gov.br,https://www.horizonte.ce.gov.br/,"Rua Antônio Agostinho da Silva, 27 - Centro - Horizonte/CE",,,,,
IBARETAMA,Prefeitura,PREFEITURA,,,https://www.ibaretama.ce.gov.br/,,,,,,
IBIAPINA,Prefeitura,Myriam Matias da Silva,(88) 9.8167-7285,ouvidoria@ibiapina.ce.gov.br,https://www.ibiapina.ce.gov.br/,"Rua Deputado Fernando Melo, S/N - CENTRO - CEP: 62360-000 - IBIAPINA\CE",,,,,
IBICUITINGA,Prefeitura,José Wilker Darly da Silva Goes,(88)9.9425-7091,ouvidoria@ibicuitinga.ce.gov.br,https://www.ibicuitinga.ce.gov.br/,"Rua Edval Maia da Silva, 16 - Centro - Ibicuitinga/CE",,,,,
ICAPUÍ,Prefeitura,Marcos Andre da Costa Soares,3432-1483,ouvidoria@icapui.ce.gov.br,https://www.icapui.ce.gov.br/,"R. Antonio Ciriaco, Icapuí - CE CEP - 62.810-000",,,,,
ICÓ,Prefeitura,Maria das Graças Ferreira Vieira,(88) 3561-1508,ouvidoria@ico.ce.gov.br,https://www.ico.ce.gov.br/,"Rua Ilidio Sampaio, 2131 - Centro - CEP: 63.430-000 - Icó\CE",,,,,
IGUATU,Prefeitura,PREFEITURA,(88) 3581-6563 ,ouvidoria@iguatu.ce.gov.br,https://www.iguatu.ce.gov.br/,R. Dr. João Pessoa - Centro - Iguatu/CE,,,,,
INDEPENDÊNCIA,Prefeitura,Layanna Maria Coelho Oliveira Magalhães,(88) 3675-2213,prefeituradeindependencia2017@outlook.com,https://www.independencia.ce.gov.br/,"Rua Cruzeiro, 244 - Centro - CEP: 63.640-000 - Independência/CE",,,,,
IPAPORANGA,Prefeitura,Regiane Bezerra de Oliveira,(88) 99944-2403,ouvidoria@ipaporanga.ce.gov.br,https://www.ipaporanga.ce.gov.br/,"Rua Franklin José Vieira , 91, Centro - CEP: 62.215-000 - Ipaporanga/CE",7h-13h,Rosane Alves Eduardo,(88) 99944-2403,ogmipaporanga@gmail.com,"Rua Franklin José Vieira , 91, Centro - CEP: 62.215-000 - Ipaporanga/CE"
IPAUMIRIM,Prefeitura,Juciclea Gouveia Correia,,,https://www.ipaumirim.ce.gov.br/,,,,,,
IPU,Prefeitura,PREFEITURA, (88) 3683-2021   ,,https://ipu.ce.gov.br/,,,,,,
IPUEIRAS,Prefeitura,Caio Cesar Linhares Ferreira,,ouvidoria@ipueiras.ce.gov.br,https://www.ipueiras.ce.gov.br/,"Parque da Cidade Jose Costa Matos, 01, Centro",,,,,
IRACEMA,Prefeitura,Savio Nero Medeiros Magalhães,(88) 3428-1462,ouvidoria.iracema.ce@gmail.com,https://www.iracema.ce.gov.br/,Rua Delta Holanda - Nº 19 - Centro - Cep: 62.980-000 - Iracema - CE,,,,,
IRAUÇUBA,Prefeitura,Renata Mendes Ramos,(88) 99928-7094 | (88) 99617-1794,ouvidoria@iraucuba.ce.gov.br,https://www.iraucuba.ce.gov.br/,"Av. Paulo Bastos, 14000 - Centro - CEP: 62620-000 - Irauçuba/CE",,,,,
ITAIÇABA,Prefeitura,Fracisca Edvanda Reinaldo da Silva,(88) 3410-1112,ouvidoria@itaicaba.ce.gov.br,https://www.itaicaba.ce.gov.br/,Prefeitura Municipal de Itaiçaba,,,,,
ITAITINGA,Prefeitura,Silvania Ferreira Cartaxo,0800 101 11 70,ouvidoria@itaitinga.ce.gov.br,https://www.itaitinga.ce.gov.br/,"Rua Manoel de Sousa, 215 - Centro - Itaitinga/CE",,,,,
ITAPAJÉ,Prefeitura,Raiane Pereira Costa,(85) 3346-2261,ouvidoria@itapaje.ce.gov.br,https://www.itapaje.ce.gov.br/,"Av. Antônio Pereira de Melo, 353 - Itapajé/CE",,,,,
ITAPIPOCA,Prefeitura,Altonia Azevedo Rogério Primo,(88) 99626-2400 | (88) 3631-5950,altoniaazevedo10@gmail.com | faleconosco@itapipoca.ce.gov.br,https://www.itapipoca.ce.gov.br/,Av. Anastácio Braga n 195 - Centro Itapipoca/CE,,,,,
ITAPIUNA,Prefeitura,Aurelio de Oliveira Souza,(88) 3431-1210 | (88) 99464-3378,gabinete@itapiuna.ce.gov.br,https://www.itapiuna.ce.gov.br/,"Av. São Cristovão, 15 - Centro - Itapiúna/CE",,,,,
ITAREMA,Prefeitura,Kaline Mariele Santana Monteiro,(88) 9.8885-5179,ouvidoria@itarema.ce.gov.br,https://www.itarema.ce.gov.br/,"Praça Nossa Senhora de Fátima, N° 48, Centro, Itarema-CE | CEP: 62.590-000",,,,,
ITATIRA,Prefeitura,Sergio Paulo de Carvalho Prado,(88) 3436-1044,prefeitura_itatira@hotmail.com,https://www.itatira.ce.gov.br/,"RUA PADRE JOSÉ LAURINDO nº 1249 PAÇO MUNICIPAL, , ITATIRA",,,,,
JAGUARETAMA,Prefeitura,Raimunete Oliveira Chaves,(88) 9.8133.6960,ouvidoria@jaguaretama.ce.gov.br,https://www.jaguaretama.ce.gov.br/,Rua Tristão Gonçalves - Nº 185 - Centro - Cep : 63.480-000 - Jaguaretama - CE,,,,,
JAGUARIBARA,Prefeitura,PREFEITURA,(88) 3568-4534,,https://www.jaguaribara.ce.gov.br/,,,,,,
JAGUARIBE,Prefeitura,Anna Susy Saldanha Freire,(88) 9.3300-2638,ouvidoria@jaguaribe.ce.gov.br,https://www.jaguaribe.ce.gov.br/,"Rua Maria Nizinha Campelo, 341",,,,,
JAGUARUANA,Prefeitura,Marcos Paulo Mendonça Soares,(88) 3418-1288,ouvidoria@jaguaruana.ce.gov.br,https://www.jaguaruana.ce.gov.br/,"Praça: Adolfo Francisco da Rocha, Nº 404 - Centro - CEP: 62.823-000 - Jaguaruana/CE",,,,,
JARDIM,Prefeitura,Thamires Clemente Tenorio,(88) 3481-7445,ouvidoria@jardim.ce.gov.br,https://www.jardim.ce.gov.br/,"Rua Leonel Alencar, 370, Centro, Jardim/CE",,,,,
JATI,Prefeitura,PREFEITURA,(88)98868-0810,ouvidoriajati@gmail.com,https://jati.ce.gov.br/,,,,,,
JIJOCA DE JERICOACOARA,Prefeitura,José Gilson Vasconcelo,(88) 3669-1180,ouvidoria@jijocadejericoacoara.ce.gov.br,https://www.jijocadejericoacoara.ce.gov.br/,"AV. Manoel Marques, Centro s/n",,,,,
JUAZEIRO DO NORTE,Prefeitura,Ivan Figueiroa Pontes,(88) 98102-5136 | (88) 3199-0464,ouvidoria@juazeiro.ce.gov.br,https://juazeirodonorte.ce.gov.br/,"Rua Interventor Francisco Erivano Cruz, Nº 120 - Centro - CEP: 63.010-015",,,,,
JUCÁS,Prefeitura,PREFEITURA,(88) 3517-1410 ,,https://jucas.ce.gov.br/,,,,,,
LAVRAS DA MANGABEIRA,Prefeitura,Samuel Pinheiro Sobral,(88) 99932-1655 | (88) 99719-1427,ouvidoria.lavrasce@gmail.com,https://www.lavrasdamangabeira.ce.gov.br/,Elisbão de Almeida Crispim,,,,,
LIMOEIRO DO NORTE,Prefeitura,Raimundo Eugenio de Menezes Castro,(88) 2142 1900,ouvidoria@limoeirodonorte.ce.gov.br,https://www.limoeirodonorte.ce.gov.br/,"Rua Cel. Antonio Joaquim, 2121 - Centro - Limoeiro do Norte",,,,,
MADALENA,Prefeitura,PREFEITURA, (88) 99461-5404 ,,https://www.madalena.ce.gov.br/acessoainformacao.php,,,,,,
MARACANAÚ,Prefeitura,Janaina de Oliveira Albuquerque,(85) 3521-5850,ouvidorageral@maracanau.ce.gov.br,https://www.maracanau.ce.gov.br/,"Rua Edson Queiroz, 270 - Centro - Maracanaú/CE",8h-16h (seg a qui) / 8h-14h (sex),Janaina de Oliveira Albuquerque,(85) 3521-5891,ouvidorageral@maracanau.ce.gov.br,"Rua Edson Queiroz, 270 - Centro - Maracanaú/CE"
MARANGUAPE,Prefeitura,Cristiana Miranda,(85) 97400-7236,gabinete@maranguape.ce.gov.br,https://maranguape.ce.gov.br/,,,,,,
MARCO,Prefeitura,Taynan Fernandes da Silva,(88) 3664-1415,ouvidoria@marco.ce.gov.br,https://marco.ce.gov.br/,"Av. Prefeito Guido Osterno, S/N - Centro - CEP: 62.560-000",,,,,
MARTINÓPOLE,Prefeitura,PREFEITURA, (88) 98876-5101 ,,https://www.martinopole.ce.gov.br/,,,,,,
MASSAPÊ,Prefeitura,Suely Andrade de Lima,(88) 3643-1499,ouvidoria@massape.ce.gov.br,https://www.massape.ce.gov.br/,"RUA MAJOR JOSÉ PAULINO, Nº 191",,,,,
MAURITI,Prefeitura,Maria Aparecida Bernardo da Silva,(88) 99632-8227,ouvidoria@mauriti.ce.gov.br,https://www.mauriti.ce.gov.br/,"Av. Senhor Martins de Morais, s/n - Bela Vista - CEP: 63210-000 - Mauriti/CE",8h-12h / 13h-16h,Isabel Karolayne,(88) 99632-8227,ouvidoria@mauriti.ce.gov.br,"Av. Senhor Martins de Morais, s/n - Bela Vista - CEP: 63210-000 - Mauriti/CE"
MERUOCA,Prefeitura,Francisca Fabia de Oliveira Santos,(88) 3649-1136,ouvidoria.meruoca@meruoca.ce.gov.br,https://www.meruoca.ce.gov.br/,"Avenida. Pedro Sampaio, Nº 385 - Divino Salvador - CEP: 62.130-000 - Meruoca/CE",,,,,
MILAGRES,Prefeitura,Anna Aponisia Felix dos Santos Ribeiro,(88) 35531255,ouvidoria@milagres.ce.gov.br,https://www.milagres.ce.gov.br/,"Rua Helena Mendonça de Figueiredo, 200 - Prefeitura Municipal de Milagres, Centro - Milagres/CE",7h30-12h / 13h30-17h,Anna Aponisia Felix dos Santos Ribeiro,Não tem,ouvidoria@milagres.ce.gov.br,
MILHÃ,Prefeitura,Alex Sandro Costa Dias,(88) 9.9712-5612,ouvidoria.milha.ce@gmail.com,https://www.milha.ce.gov.br/,"Av. Pedro José de Oliveira, Nº 406 - Centro - CEP: 63635-000 - Milhã/CE",,,,,
MIRAÍMA,Prefeitura,Antonia Maria Alves Pinheiro Pinto,(88) 36391167,ouvidoria@miraima.ce.gov.br,https://www.miraima.ce.gov.br/,ESPLANADA DA ESTAÇÃO,,,,,
MISSÃO VELHA,Prefeitura,Regilânio Macedo,(88) 3542-1691 ,controladoriaeouvidoria@missaovelha.ce.gov.br | ouvidoria@missaovelha.ce.gov.br,https://missaovelha.ce.gov.br/,"Paço Municipal Sebastião Pereira Cruz
Rua José leite landim Júnior, 64 Centro - Missão Velha/CE",,,,,
MOMBAÇA,Prefeitura,Francimario Ferreira de Oliveira,(88) 9.88589996,ouvidoria@mombaca.ce.gov.br,https://www.mombaca.ce.gov.br/,RUA DONA ANÉSIA CASTELO 01 - ALTOS,,,,,
MONSENHOR TABOSA,Prefeitura,Lowrany de Melo Sousa Rodrigues,(88) 3696-1117,ouvidoriamonsenhortabosa@gmail.com,https://www.monsenhortabosa.ce.gov.br/,"Praça 07 de Setembro, 15 - Centro - Monsenhor Tabosa/CE",,,,,
MORADA NOVA,Prefeitura,PREFEITURA,(88) 3422-1381,,https://www.moradanova.ce.gov.br/,,,,,,
MORAÚJO,Prefeitura,PREFEITURA,(88) 3642-1145,,https://www.moraujo.ce.gov.br/,,,,,,
MORRINHOS,Prefeitura,Francisco Odinei Vasconcelos Barbosa,(88)36651130 | (88) 9603-6511,ouvidoria@morrinhos.ce.gov.br,https://morrinhos.ce.gov.br/,"Rua Joaquim Coriolano Rocha, Nº 350B, Centro",,,,,
MUCAMBO,Prefeitura,PREFEITURA,(88) 3654-1133,,https://mucambo.ce.gov.br/,,,,,,
